geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US01,Alabama,2005-2009,25972.979,84.945587,20879.047,966.86005,27183.365,960.08167,27721.129,979.28845,16738.746,118.89401,13731.813,319.31177,26326.963,87.900818,14793.558,3627.2227,30156.822,109.47983,16873.326,359.71097,13159.17,747.59619,14396.979,474.32159,15237.127,610.84497,29758.342,106.3493
04000US01,Alabama,2006-2010,25836.293,94.891121,19967.145,980.52283,27553.166,1003.3889,27810.756,1021.3949,16815.631,101.21326,14469.884,302.87698,26241.889,98.883102,20095.031,4555.4878,30070.686,124.52,16975.314,392.37079,14101.524,817.91718,14665.428,476.84564,15090.28,558.5954,29594.428,124.67386
04000US01,Alabama,2007-2011,25589.717,73.14695,20169.221,1025.6287,28485.631,1065.4952,28514.072,1081.4756,16753.572,103.08662,14439.2,315.35919,26013.924,76.876213,27293.004,5870.9385,29801.236,101.66608,16920.881,306.28345,13622.063,792.2467,14332.853,503.27118,14871.403,643.61523,29302.273,102.37688
04000US01,Alabama,2008-2012,25182.553,89.898705,20714.201,954.59753,26794.721,918.59784,26734.445,930.17334,16647.152,92.056435,14054.965,311.94171,25623.941,94.293816,29345.176,5995.7622,29341.65,119.22681,16725.242,364.84189,12958.188,722.35822,13914.206,479.33203,14639.168,633.65845,28817.217,116.32385
04000US01,Alabama,2009-2013,24916.398,88.64769,20795.002,1073.3315,27402.473,941.54926,27328.152,953.34656,16621.469,121.2063,13927.954,315.94009,25365.123,93.177132,30447.674,6111.3066,29007.82,114.43062,16687.619,352.39307,13238.922,753.05109,13624.881,517.61481,13920.701,706.68591,28484.422,113.99811
04000US01,Alabama,2010-2014,24783.623,82.992455,22208.301,1286.7871,28622.514,1056.8275,28468.08,1067.684,16594.836,82.97052,14686.645,288.19754,25202.354,87.266647,34921.07,7569.4448,28785.754,110.84204,16818.092,332.00354,12238.166,660.16742,13355.863,528.25531,14213.104,778.93347,28322.479,108.40458
04000US01,Alabama,2011-2015,24915.121,81.623116,23540.846,1215.7784,27416.35,865.08038,27684.615,865.07739,16838.283,103.66415,14517.503,303.14096,25348.98,85.979301,20861.074,5314.833,28940.805,105.78371,16978.348,319.80881,11879.462,589.76678,13398.721,477.41431,14535.253,701.48962,28473.035,102.48495
04000US01,Alabama,2012-2016,25263.311,90.724869,23677.756,1486.2205,29143.135,1077.1089,29464.283,1096.6812,17388.172,117.95787,14692.172,296.34766,25703.436,95.310585,19428.063,4559.4048,29227.15,111.27752,17503.508,345.58105,12919.303,829.67987,13894.272,476.46298,14601.893,554.42828,28741.959,108.99721
04000US01,Alabama,2013-2017,25746.352,89.943306,23740.51,1388.9987,29949.832,1115.6554,30352.828,1139.8109,17885.361,143.65189,14955.835,347.77988,26206.451,94.945923,18510.98,4083.7078,29752.371,116.53328,17994.41,347.11578,13002.233,701.52057,14138.27,454.63699,14994.345,589.86243,29273.994,114.57583
04000US02,Alaska,2005-2009,33570.563,248.05637,18725.99,536.5722,25135.402,699.18976,25948.52,762.86664,26198.914,1126.6085,22363.102,784.19135,34261.336,267.8334,19063.596,1612.6306,40170.094,339.38437,20970.068,969.59503,22978.854,2069.0559,18161.221,783.5462,17056.244,842.61005,39588.598,326.51309
