geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US01,Alabama,2005-2009,21.533461,.10454877,13.984881,1.0331744,49.936954,1.0983809,50.931107,1.1498512,13.851536,.19015165,12.302654,.56201363,21.723055,.10729867,14.303179,3.7704916,23.980062,.11707304,15.184255,.48354784,10.26469,.95013094,15.018227,.63446474,18.458357,.86537367,23.797535,.11714057
04000US01,Alabama,2006-2010,21.719669,.10241631,13.371372,.93320638,50.211926,1.1003227,50.879139,1.1340966,14.395454,.18458027,12.320963,.49194032,21.967566,.10588966,24.734983,5.7270637,24.128849,.10560724,15.707499,.44480175,10.739678,.90046608,15.26326,.63555372,19.176949,.9441061,23.883934,.10455585
04000US01,Alabama,2007-2011,21.970104,.10597432,13.52782,.89396167,49.751492,1.1173632,50.31749,1.1417302,14.50896,.19933586,12.10969,.47482163,22.247059,.10973697,22.617353,6.1140761,24.492281,.12067787,15.785109,.47071627,9.2777205,.78170758,14.891224,.59458774,19.970966,.90968943,24.22645,.11924364
04000US01,Alabama,2008-2012,22.264896,.11078773,14.725492,.95624048,49.900826,.92886275,50.596584,.94937205,14.678677,.16709682,11.951217,.496874,22.56786,.11492517,21.158392,5.1762791,24.849007,.1201124,16.016842,.47733179,9.6880636,.92744511,15.924911,.66971707,21.455547,1.0025862,24.548859,.11906417
04000US01,Alabama,2009-2013,22.631241,.11264437,14.5472,.97200292,49.982712,1.0374587,50.864445,1.0635769,15.227299,.19447982,12.590897,.50834203,22.935503,.11703786,17.107943,4.973114,25.153696,.12524898,16.612698,.48481971,9.6004419,.83294761,16.209435,.62851834,22.418325,.95754665,24.875498,.12467592
04000US01,Alabama,2010-2014,23.052691,.11164639,17.094568,1.1742308,49.60714,1.1351281,50.352371,1.1591033,15.486872,.17645596,13.458178,.48844126,23.349968,.11605467,21.477833,5.873539,25.614517,.11499076,17.016298,.46275029,9.6811476,.7782886,17.190752,.68721157,24.179823,1.1144106,25.341421,.11406557
04000US01,Alabama,2011-2015,23.512426,.1073336,17.437485,1.3334546,48.350689,.8955164,49.798965,.93969369,15.909873,.18752775,13.654487,.4773621,23.820166,.11162592,9.8262033,3.0472856,26.14728,.11676759,17.391603,.44828239,8.6922188,.76611924,16.793552,.60906798,23.932392,.95114082,25.883575,.1158108
04000US01,Alabama,2012-2016,24.010366,.10183313,18.238617,1.2556794,49.640667,.93284315,50.843121,.97612917,16.50482,.17896043,13.896558,.51998675,24.323006,.10617049,13.452914,3.1432292,26.605957,.12407473,18.039743,.44107378,9.6937275,.84493494,18.169304,.65191424,25.353903,.97351259,26.337078,.12338551
04000US01,Alabama,2013-2017,24.524475,.11126003,17.956425,1.1974841,49.222343,.73913491,50.336708,.77443773,16.922634,.20618579,13.96562,.51429832,24.852482,.11579031,16.678247,3.0913248,27.195921,.12714119,18.459726,.46460223,9.4930964,.75444013,18.435612,.62882024,26.317055,.9902941,26.934162,.12750179
04000US02,Alaska,2005-2009,26.518524,.31285962,5.8337169,.39017111,22.40797,1.0842032,24.348721,1.1855471,18.164326,1.5278584,17.395329,1.1610944,26.962385,.3327696,4.4213266,1.934469,31.76475,.35939622,13.793977,1.3842155,15.496823,2.3537683,16.294943,1.0650316,16.607315,1.1601052,31.406488,.35139316
04000US02,Alaska,2006-2010,27.00411,.27588299,6.3541532,.35968956,22.935272,1.1650652,24.963717,1.2795427,19.03879,1.480057,18.218,1.1438576,27.406811,.29255873,6.5370431,2.112474,32.259777,.34394702,14.7144,1.2290479,16.767546,2.071789,18.38027,1.006727,18.890787,1.1525519,31.897848,.34164941
04000US02,Alaska,2007-2011,27.210722,.32887709,7.1593919,.41349414,21.567833,.96325678,23.953148,1.0760278,18.997267,1.5725547,20.143921,1.3933465,27.53367,.34965941,4.178103,1.3946179,32.380234,.37761483,15.008844,1.4220189,15.935808,1.985755,19.172663,1.1241127,20.05493,1.3263377,32.044949,.37161499
04000US02,Alaska,2008-2012,27.476242,.29299819,7.8143301,.47837085,21.065325,.90511262,23.256462,1.011113,22.348974,1.7355475,22.209776,1.1006564,27.717962,.31052709,5.1430221,1.343354,32.505409,.34978563,15.742278,1.2737651,22.399328,2.2668409,20.067221,1.0231787,19.525389,1.1433258,32.142944,.34151778
04000US02,Alaska,2009-2013,27.500269,.32212424,8.370162,.49485764,20.251665,.9710511,22.289413,1.0900917,22.571507,1.685577,21.217642,1.2257113,27.802631,.34269387,6.2931495,1.4702753,32.6931,.36807957,15.663642,1.3498688,21.468254,2.450217,19.200216,1.0627567,18.653072,1.1767684,32.297024,.36762875
04000US02,Alaska,2010-2014,27.684715,.29135695,8.1556072,.40159002,21.407606,.97932208,23.36335,1.1008248,23.211426,1.6120821,20.590752,1.2190282,28.044329,.31225628,8.5457277,1.502007,32.924385,.32408205,16.029224,1.1849364,18.160191,2.4369965,19.52614,1.0289769,19.843426,1.1362066,32.503014,.30987719
